id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
b150ea1e23c79241,AL,Diatherix Laboratories LLC,Diatherix Laboratories,,Huntsville,55,2026-08-31,2026-10-31,Closure,2026-09-02T18:45:14.612156Z
a9cb5edb72f6afbc,AL,Flagstone Foods,Flagstone Foods,,Dothan,98,2026-08-20,2026-10-22,Layoff,2026-09-02T05:08:44.856399Z
5af3a6960d5a86a8,AL,Fortrex [(Packers Sanitation Services Inc.) PSSI],Fortrex [(Packers Sanitation Services Inc.) PSSI],,Blountsville,50,2026-08-20,2026-09-11,Layoff,2026-09-02T05:08:44.856399Z
3be34dc1eed962bb,AL,Fluor Enterprises Inc.,Fluor Enterprises,,Bay Minette,66,2026-08-06,2026-07-31,Layoff,2026-09-02T05:08:44.856399Z
701f74f05a0cde92,AL,Biocryst Pharmaceuticals Inc,Biocryst Pharmaceuticals,,Hoover,47,2026-08-04,2026-10-07,Closure,2026-09-02T05:08:44.856399Z
34ba10be75926490,AL,FMC Corporation,FMC,,Axis,41,2026-08-04,2026-10-31,Layoff,2026-09-02T05:08:44.856399Z
344e26f8073580c7,AL,BASF Corporation,BASF,,Mc Intosh,79,2026-07-22,2026-09-30,Layoff,2026-09-02T05:08:44.856399Z
a3ec2df61ec45282,AL,Alabama Cooperage,Alabama Cooperage,,Trinity,71,2026-07-16,2026-09-14,Closure,2026-09-02T05:08:44.856399Z
8cf77c8625939bb7,AL,Legacy Cabinets,Legacy Cabinets,,Eastaboga,397,2026-06-11,2026-06-06,Closure,2026-09-02T05:08:44.856399Z
e428a49934b30737,AL,LineQuest LLC,LineQuest,,Pelham,113,2026-04-23,2026-08-01,Closure,2026-09-02T05:08:44.856399Z
49eca686904d30c6,AL,Serta Mattress Company,Serta Mattress,,Cullman,102,2026-04-15,2026-04-17,Closure,2026-09-02T05:08:44.856399Z
4b4a6e4015e6d16b,AL,Legacy Supply Chain Operations,Legacy Supply Chain Operations,,Decatur,6,2026-04-09,2026-06-06,Closure,2026-09-02T05:08:44.856399Z
a9cb6eabef5df360,AL,Swedish Match Cigars Inc,Swedish Match Cigars,,Dothan,54,2026-04-01,2026-05-31,Layoff,2026-09-02T05:08:44.856399Z
d123a0720d37893d,AL,Resolute Forest Products,Resolute Forest Products,,Alpine,20,2026-03-31,2026-05-24,Closure,2026-09-02T05:08:44.856399Z
0d6254042b30d34a,AL,Resolute Forest Products,Resolute Forest Products,,Coosa Pines,255,2026-03-31,2026-05-24,Closure,2026-09-02T05:08:44.856399Z
a0488c5db42bd034,AL,Overland Contracting Inc,Overland Contracting,,Coosada,62,2026-03-17,2026-03-13,Layoff,2026-09-02T05:08:44.856399Z
bf598ae2afa2e4b5,AL,Saddle Creek Logistics Services,Saddle Creek Logistics Services,,Bessemer,151,2026-02-27,2026-04-30,Layoff,2026-09-02T05:08:44.856399Z
f9113d3257762288,AL,CVG – Commercial Vehicle Group Alabama,CVG,,Piedmont,76,2026-02-19,2026-04-11,Layoff,2026-09-02T05:08:44.856399Z
61fc7f638fe5aadd,AL,Louis Vuitton,Louis Vuitton,,Birmingham,10,2026-02-19,2026-02-17,Closure,2026-09-02T05:08:44.856399Z
4a3d7281b46a0def,AL,Southern Parallel Forest Products Corp,Southern Parallel Forest Products,,Albertville,62,2026-02-12,2026-04-08,Closure,2026-09-02T05:08:44.856399Z
fd048c5dbc928ff5,AL,Saks Fifth Avenue,Saks Fifth Avenue,,Birmingham,44,2026-02-10,2026-04-11,Closure,2026-09-02T05:08:44.856399Z
281a1aa37f28d4b4,AL,Birmingham Parking Authority,Birmingham Parking Authority,,Birmingham,33,2026-02-10,2026-04-01,Layoff,2026-09-02T05:08:44.856399Z
2a17dcf151ed4a8d,AL,Tiffin Motorhomes Incorporated,Tiffin Motorhomes,,Winfield,139,2026-02-05,2026-05-12,Closure,2026-09-02T05:08:44.856399Z
edb3309c19e332dd,AL,Salon Centric Inc,Salon Centric,,Mc Calla,79,2026-01-13,2026-06-30,Closure,2026-09-02T05:08:44.856399Z
16c571544d5d0f82,AL,Montgomery UPS,Montgomery UPS,,Montgomery,128,2025-12-23,2026-02-23,Layoff,2026-09-02T05:08:44.856399Z
