id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
04af33401f5d61e9,AZ,Amentum,Amentum,,Chandler,75,2026-08-21,,WARN,2026-08-30T21:43:41.512264Z
97221f946b790fa2,AZ,"Pinnacle Transplant Technologies, LLC",Pinnacle Transplant Technologies,,Phoenix,90,2026-08-17,,WARN,2026-08-30T21:43:41.512264Z
22cb1cb503502cb9,AZ,SMBC MANUBANK,Smbc Manubank,,New York,,2026-08-11,,WARN,2026-08-30T21:43:41.512264Z
cc901a17a7b12889,AZ,Salad and Go,Salad and Go,,Phoenix,25,2026-08-04,,WARN,2026-08-30T21:43:41.512264Z
1b548bbff978c2d4,AZ,Essendant,Essendant,,Phoenix,53,2026-08-04,,WARN,2026-08-30T21:43:41.512264Z
bef04403320a73cf,AZ,Infineon Technologies America Corp,Infineon Technologies America,,Mesa,98,2026-08-03,,WARN,2026-08-30T21:43:41.512264Z
4ffa762d3d4311c7,AZ,Select Medical Corporation,Select Medical,,Tucson,99,2026-07-09,,WARN,2026-08-30T21:43:41.512264Z
92a4d2be1b43ffc7,AZ,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Florham Park,3,2026-06-29,,WARN,2026-08-30T21:43:41.512264Z
55e41ae677c8d6e4,AZ,"Central Admixture Pharmacy Services, Inc.",Central Admixture Pharmacy Services,,Phoenix,116,2026-06-25,,WARN,2026-08-30T21:43:41.512264Z
bfa2d3523047604b,AZ,Ingram Micro Services LLC,Ingram Micro Services,,Chandler,75,2026-06-24,,WARN,2026-08-30T21:43:41.512264Z
091651b42065c08f,AZ,"Lucid USA, Inc.",Lucid,,Casa Grande,705,2026-06-22,,WARN,2026-08-30T21:43:41.512264Z
152baa7fa70a94fd,AZ,"Leona Arizona Employment Group, Inc.",Leona Arizona Employment Group,,Phoenix,66,2026-06-16,,WARN,2026-08-30T21:43:41.512264Z
070f9939a66c0857,AZ,Paragon Space Development Corporation,Paragon Space Development,,Tucson,77,2026-06-12,,WARN,2026-08-30T21:43:41.512264Z
ae1898e017d21ed3,AZ,SMBC MANUBANK,Smbc Manubank,,New York,,2026-06-04,,WARN,2026-08-30T21:43:41.512264Z
ef221390d524e0be,AZ,Federal Express Corporation,Federal Express,,Phoenix,,2026-06-02,,WARN,2026-08-30T21:43:41.512264Z
af8bf9b733e0fb5e,AZ,Honeywell AZ0Y,Honeywell AZ0Y,,Chandler,60,2026-05-27,,WARN,2026-08-30T21:43:41.512264Z
14059975295a6fd2,AZ,"National Distribution Centers, LLC",National Distribution Centers,,Waddell,90,2026-05-21,,WARN,2026-08-30T21:43:41.512264Z
154e1ce8f3f0cc40,AZ,"SDH Education West, LLC",SDH Education West,,Phoenix,489,2026-05-14,,WARN,2026-08-30T21:43:41.512264Z
caa3ec9108c09088,AZ,Advanced Call Center Technologies (ACT),Advanced Call Center Technologies (ACT),,San Luis,232,2026-05-01,,WARN,2026-08-30T21:43:41.512264Z
58be29a167f40ce9,AZ,Benchmark,Benchmark,,Phoenix,75,2026-04-29,,WARN,2026-08-30T21:43:41.512264Z
