id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
05a91cb48a75aad9,CA,"Levine Management Group, Inc.",Levine Management Group,,Los Angeles County,72,2026-08-26,2026-08-17,Layoff Permanent,2026-08-30T21:43:41.512264Z
e46311065c49a8a6,CA,"BFG Supply Co., LLC",BFG Supply,,San Bernardino County,37,2026-08-24,2026-10-25,Layoff Permanent,2026-08-30T21:43:41.512264Z
84feef6b104018d8,CA,"BFG Supply Co., LLC",BFG Supply,,Yolo County,2,2026-08-24,2026-10-25,Layoff Permanent,2026-08-30T21:43:41.512264Z
fcd1faf525ba1e08,CA,Blue Shield of California,Blue Shield of California,,Los Angeles County,3,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
f12c5749912735dd,CA,Blue Shield of California (Building B),Blue Shield of California (Building B),,El Dorado County,12,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
f01ba9083b95dc9f,CA,Blue Shield of California,Blue Shield of California,,Alameda County,25,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
e7fb05023f801fa3,CA,Blue Shield of California,Blue Shield of California,,Sacramento County,5,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
e4e4b70572aff2cf,CA,Blue Shield of California,Blue Shield of California,,San Diego County,4,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
d4b7131a49703a8a,CA,"Apple, Inc. - Sunnyvale","Apple, Inc. - Sunnyvale",,Santa Clara County,28,2026-08-21,2026-10-19,Layoff Permanent,2026-08-30T21:43:41.512264Z
c34a3754ba6b5e5f,CA,"Apple, Inc. - Maude Ave.","Apple, Inc. - Maude Ave",,Santa Clara County,40,2026-08-21,2026-10-19,Layoff Permanent,2026-08-30T21:43:41.512264Z
ba5aaad31b69a566,CA,Blue Shield of California,Blue Shield of California,,San Joaquin County,2,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
af9684f25dbd4211,CA,Cellares Corporation,Cellares,,San Mateo County,100,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
6d26b0409d382f18,CA,"Apple, Inc. - Cupertino","Apple, Inc. - Cupertino",,Santa Clara County,79,2026-08-21,2026-10-19,Layoff Permanent,2026-08-30T21:43:41.512264Z
4a32c7b82aa78ae9,CA,Blue Shield of California,Blue Shield of California,,Los Angeles County,8,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
42ca7d81b33b15e0,CA,Jabil Inc.,Jabil,,Santa Clara County,382,2026-08-21,2026-11-23,Closure Temporary,2026-08-30T21:43:41.512264Z
2dd5671805e506a0,CA,Blue Shield of California (Building C),Blue Shield of California (Building C),,El Dorado County,1,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
73cae0977f667422,CA,Silgan Containers,Silgan Containers,,Stanislaus County,120,2026-08-20,2026-10-12,Layoff Temporary,2026-08-30T21:43:41.512264Z
4598b4e9283f8bdb,CA,"Haas Automation, Inc.",Haas Automation,,Ventura County,73,2026-08-20,2026-11-02,Relocation Permanent,2026-08-30T21:43:41.512264Z
133d7bc60b698423,CA,"Flying Food Group, LLC",Flying Food Group,,San Mateo County,72,2026-08-20,2026-10-13,Closure Permanent,2026-08-30T21:43:41.512264Z
c5630d49c89e42e2,CA,"Stone Brewing Co., LLC - Harmony Grove","Stone Brewing Co., LLC - Harmony Grove",,San Diego County,2,2026-08-19,2026-10-19,Closure Permanent,2026-08-30T21:43:41.512264Z
95f3292ad6766662,CA,"Stone Brewing Co., LLC - Executive Place","Stone Brewing Co., LLC - Executive Place",,San Diego County,6,2026-08-19,2026-10-19,Closure Permanent,2026-08-30T21:43:41.512264Z
93210b37f7ef34f8,CA,"Stone Brewing CO., LLC - Citracado Parkway","Stone Brewing CO., LLC - Citracado Parkway",,San Diego County,50,2026-08-19,2026-10-19,Closure Permanent,2026-08-30T21:43:41.512264Z
b59703fcf163861b,CA,Corteva Agriscience LLC,Corteva Agriscience,,Contra Costa County,2,2026-08-18,2026-10-30,Layoff Permanent,2026-08-30T21:43:41.512264Z
