id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
0de965e694fd4c10,CT,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Remote,2,2026-06-28,2026-08-28,,2026-08-30T21:43:41.512264Z
50ee8f953246b3e0,CT,"G2 Secure Staffing, LLC",G2 Secure Staffing,,Windsor Locks,100,2026-06-19,2026-08-19,,2026-08-30T21:43:41.512264Z
4e7eb501c6b42c9b,CT,Guida-Seibert Dairy Company,Guida-Seibert Dairy,,New Britain,205,2026-05-21,2026-07-20,,2026-08-30T21:43:41.512264Z
89a68578e2135239,CT,IDEX Health and Science LLC,IDEX Health and Science,,Bristol,73,2026-05-05,2026-07-15,,2026-08-30T21:43:41.512264Z
99b6b95a559c5bca,CT,CVS Health Aetnas Clinical Solutions/Aetna Business Operations,CVS Health Aetnas Clinical Solutions/Aetna Business Operations,,Remote,6,2026-05-04,2026-07-03,,2026-08-30T21:43:41.512264Z
de998a9405bfdfbb,CT,Stanley Black and Decker,Stanley Black and Decker,,New Britain,300,2026-03-04,2026-05-04,,2026-08-30T21:43:41.512264Z
ad495f39d261424f,CT,"Talcott Resolution Life, Inc.",Talcott Resolution Life,,Hartford,101,2026-02-18,2026-04-24,,2026-08-30T21:43:41.512264Z
08ebd06716118cec,CT,"Main Street Sports Group, LLC",Main Street Sports Group,,Southport,44,2026-02-13,2026-04-14,,2026-08-30T21:43:41.512264Z
55b109887aafc3b1,CT,CVS Heath - Aetna,CVS Heath - Aetna,,Hartford - Remote,313,2026-02-04,2026-04-03,,2026-08-30T21:43:41.512264Z
c896e50a772aec23,CT,Macys Cheshire Fulfillment Center,Macys Cheshire Fulfillment Center,,Cheshire,993,2026-01-13,2026-03-14,,2026-08-30T21:43:41.512264Z
926652ec31e55b74,CT,Macys Store Delivery Center (SDS) and Customer Returns Center (CRD) Operations,Macys Store Delivery Center (SDS) and Customer Returns Center (CRD) Operations,,South Windsor,57,2026-01-12,2026-03-14,,2026-08-30T21:43:41.512264Z
c14712dfa413f64e,CT,JeniusBank,JeniusBank,,Remote,161,2026-01-08,2026-03-10,,2026-08-30T21:43:41.512264Z
d4a0700cf4e0db69,CT,"Tessera Therapeutics, Inc",Tessera Therapeutics,,Remote,1,2026-01-06,2026-03-08,,2026-08-30T21:43:41.512264Z
10207eec36d5077a,CT,Connecticut Custom Car,Connecticut Custom Car,,Enfield,5,2025-12-08,2025-11-26,,2026-08-30T21:43:41.512264Z
9ab9e6efbfe20548,CT,PosiGen Developer LLC,PosiGen Developer,,Shelton,,2025-11-14,2025-11-23,,2026-08-30T21:43:41.512264Z
d3b8d90901016eda,CT,Edgewell Personal Care/Schick,Edgewell Personal Care/Schick,,Milford,293,2025-11-13,2026-03-02,,2026-08-30T21:43:41.512264Z
63ca30307b6314ec,CT,"Metallics, Inc",Metallics,,Bristol,33,2025-11-07,2026-05-01,,2026-08-30T21:43:41.512264Z
6922dcd3f08773f4,CT,"ELG Utica Alloys (Harford), Inc.",ELG Utica Alloys (Harford),,Hartford,51,2025-10-31,2025-12-31,Not Provided,2026-08-30T21:43:41.512264Z
a95c8e0028db8ed2,CT,Macys South Windsor Distribution Center,Macys South Windsor Distribution Center,,South Windsor,106,2025-10-28,2025-12-28,,2026-08-30T21:43:41.512264Z
71d0e2ec22a6007c,CT,PosiGen Developer LLC,PosiGen Developer,,Shelton,,2025-10-24,2025-11-02,,2026-08-30T21:43:41.512264Z
597b366ea666505e,CT,Baduccis,Baduccis,,Westport,59,2025-10-24,2026-02-28,,2026-08-30T21:43:41.512264Z
f75575ef0b23e0be,CT,CVS Health,CVS Health,,Remote,72,2025-10-17,2025-12-31,,2026-08-30T21:43:41.512264Z
dc900d8ec60b8902,CT,"ImageFIRST Healthcare Laundry Specialists, LLC",ImageFIRST Healthcare Laundry Specialists,,12/08/2025,69,2025-10-09,2025-12-08,,2026-08-30T21:43:41.512264Z
6d3ed49f33e458a2,CT,"SimplyIOA, LLC",SimplyIOA,,Remote,66,2025-10-07,2025-12-02,,2026-08-30T21:43:41.512264Z
ca8666a0517ab686,CT,PosiGen Developer LLC,PosiGen Developer,,"Shelton, Danbury, Wethersfield",,2025-10-03,2025-10-12,,2026-08-30T21:43:41.512264Z
de3478c71b713281,CT,PerkinElmer U.S. LLC,PerkinElmer U.S,,Shelton,68,2025-09-23,2025-11-24,PerkinElmer WARN,2026-08-30T21:43:41.512264Z
a13c5023b77c692a,CT,PosiGen Developer LLC,PosiGen Developer,,"Shelton, Danbury, Wethersfield",,2025-09-12,2025-09-21,PosiGen Supplemental WARN 9.12.25,2026-08-30T21:43:41.512264Z
5fdfdbd875c43ec1,CT,First Student,First Student,,Stamford,140,2025-06-20,2025-07-01,Closing,2025-06-20T00:00:00Z
123c6e26ffd583c5,CT,"Hbr Trumbull, LLC dba St. Joseph's Center",Hbr Trumbull,St. Joseph's Center,Trumbull,179,2025-06-20,2025-06-10,Closing,2025-06-20T00:00:00Z
780cda84daf0b968,CT,"TransAxle, LLC",TransAxle,,Killingly,80,2025-05-16,2025-07-15,Closing,2025-05-16T00:00:00Z
44e68197af031bec,CT,"Feeney Brothers Excavation, LLC (Update to 4/16/2025 and 5/2/2025 notices)","Feeney Brothers Excavation, LLC (Update to 4/16/2025 and 5/2/2025 notices)",,Waterbury,6,2025-05-16,2025-05-16,,2025-05-16T00:00:00Z
7e98418891d63c0c,CT,"Feeney Brothers Excavation, LLC. (Update to 4/16/2025 notice)","Feeney Brothers Excavation, LLC. (Update to 4/16/2025 notice)",,Waterbury,9,2025-05-02,2025-05-02,,2025-05-02T00:00:00Z
d934191eef5819d4,CT,"Arvinas, Inc.",Arvinas,,New Haven,131,2025-04-30,2025-06-29,,2025-04-30T00:00:00Z
e18acf32081a1a8f,CT,CVS Health,CVS Health,,Hartford,55,2025-04-24,2025-08-03,,2025-04-24T00:00:00Z
a90b8739441963e5,CT,"Feeney Brothers Excavation, LLC",Feeney Brothers Excavation,,Waterbury,37,2025-04-16,2025-04-15,,2025-04-16T00:00:00Z
ce6955933d0f0baf,CT,"Block, Inc.",Block,,Remote,2,2025-03-25,2025-05-24,,2025-03-25T00:00:00Z
e81fb7a2a53c4109,CT,Barnes Group Inc.,Barnes Group,,Bristol,28,2025-03-10,2025-03-31,Closing,2025-03-10T00:00:00Z
f041c5dc9d9dc5b5,CT,Rheem Manufacturing Company Eemax Division,Rheem Manufacturing Company Eemax Division,,Waterbury,78,2025-02-26,2025-04-30,Closing,2025-02-26T00:00:00Z
eee54134390f6b4f,CT,CVS Health,CVS Health,,Hartford,4,2025-02-11,2025-04-12,,2025-02-11T00:00:00Z
00a10ebe0e6f6abb,CT,HyAxiom (update to 11/14/24 notice),HyAxiom (update to 11/14/24 notice),,South Windsor/East Hartford,3,2025-02-10,,,2025-02-10T00:00:00Z
a5154228885b121d,CT,CVS Health,CVS Health,,Hartford,22,2025-02-04,2025-06-07,,2025-02-04T00:00:00Z
b23810a8540a6dcc,CT,J.J. Ryan Corporation dba Rex Forge,J.J. Ryan,Rex Forge,Plantsville,103,2025-02-03,2025-02-10,Closing,2025-02-03T00:00:00Z
674a700a0233f9a7,CT,CVS Health,CVS Health,,Hartford,13,2025-01-17,2025-03-09,,2025-01-17T00:00:00Z
c0e50b9046209089,CT,Sheriden Woods Health Care Center,Sheriden Woods Health Care Center,,Bristol,253,2024-12-24,2025-03-21,Closing,2024-12-24T00:00:00Z
52d4b5ed2899884d,CT,Countryside Manor of Bristo l,Countryside Manor of Bristo l,,Bristol,178,2024-12-24,2025-03-21,Closing,2024-12-24T00:00:00Z
43d5f9a9354ea778,CT,CVS Health,CVS Health,,Hartford,164,2024-12-20,2025-02-15,,2024-12-20T00:00:00Z
b7b4efb33681e31a,CT,CVS Health,CVS Health,,Hartford,42,2024-11-25,2024-01-25,,2024-11-25T00:00:00Z
ffe09f0a8ed05508,CT,HyAxiom,HyAxiom,,"South Windsor, East Hartford",4918,2024-11-14,2025-01-13,,2024-11-14T00:00:00Z
4d8ac6a818c2fe2e,CT,Hologic,Hologic,,Danbury,86,2024-10-18,2024-12-20,Closing,2024-10-18T00:00:00Z
de6c232a7645bfc5,CT,Gritstone,Gritstone,,Remote,1,2024-10-16,2024-12-06,Closing,2024-10-16T00:00:00Z
693463bb51758cd3,CT,CVS Health,CVS Health,,Hartford,416,2024-10-07,2024-12-08,,2024-10-07T00:00:00Z
7f587a2d301717a7,CT,Kaleo,Kaleo,,Remote,1,2024-09-30,2024-11-30,,2024-09-30T00:00:00Z
08a3ae8a2dac1127,CT,Abbott Terrace Health Center,Abbott Terrace Health Center,,Waterbury,209,2024-09-30,2024-11-08,Closing,2024-09-30T00:00:00Z
ca6490cadfd3abf4,CT,"Lost Boys Interactive, LLC",Lost Boys Interactive,,Danbury,1,2024-09-06,,,2024-09-06T00:00:00Z
0dbddf06c61b0036,CT,"Mountain Sports, LLC (Updated Notice)","Mountain Sports, LLC (Updated Notice)",,Meriden,,2024-09-06,2024-09-27,,2024-09-06T00:00:00Z
02056b3d1c26d08d,CT,"SDI Stores, LLC (Updated Notice)","SDI Stores, LLC (Updated Notice)",,Meriden,,2024-09-06,2024-09-27,,2024-09-06T00:00:00Z
c1eba3a82397c1d0,CT,"Mountain Sports, LLC (Updated Notice)","Mountain Sports, LLC (Updated Notice)",,Meriden,,2024-08-12,2024-08-23,,2024-08-12T00:00:00Z
21b62d5e16fca649,CT,"SDI Stores, LLC (Updated Notice)","SDI Stores, LLC (Updated Notice)",,Meriden,,2024-08-12,2024-08-23,,2024-08-12T00:00:00Z
f9ae044f55a7e346,CT,"Mountain Sports, LLC (Updated Notice)","Mountain Sports, LLC (Updated Notice)",,Meriden,,2024-06-30,2024-07-05,,2024-06-30T00:00:00Z
5e8a57461491f836,CT,"SDI Stores, LLC dba Bob's Stores (Updated Notice)",SDI Stores,Bob's Stores (Updated Notice,Meriden,,2024-06-30,2024-07-05,,2024-06-30T00:00:00Z
d94ac746dcc1f0b9,CT,Cascades Containerboard Packaging (Updated Notice),Cascades Containerboard Packaging (Updated Notice),,Newtown,,2024-06-07,2024-06-21,Closing,2024-06-07T00:00:00Z
a14169e87e696641,CT,"Mountain Sports, LLC (Updated Notice)","Mountain Sports, LLC (Updated Notice)",,Meriden,3,2024-05-31,2024-06-14,,2024-05-31T00:00:00Z
172374b89a697604,CT,"SDI Stores, LLC dba Bob's Stores (Updated Notice)",SDI Stores,Bob's Stores (Updated Notice,Meriden,,2024-05-31,2024-06-14,,2024-05-31T00:00:00Z
2b129eab9c542332,CT,Cascades Containerboard Packaging (Updated Notice),Cascades Containerboard Packaging (Updated Notice),,Newtown,,2024-05-23,2024-06-07,Closing,2024-05-23T00:00:00Z
f431bd25a803190a,CT,"Mountain Sports, LLC dba Eastern Mountain Sports",Mountain Sports,Eastern Mountain Sports,Meriden,3,2024-05-21,2024-05-31,,2024-05-21T00:00:00Z
97ced4c1acf50998,CT,"SDI STORES, LLC dba Bob's Stores",Sdi Stores,Bob's Stores,Meriden,145,2024-05-21,2024-05-31,,2024-05-21T00:00:00Z
4841b069ed67386c,CT,Cascades Containerboard Packaging (Updated Notice),Cascades Containerboard Packaging (Updated Notice),,Newtown,,2024-05-13,2024-05-24,Closing,2024-05-13T00:00:00Z
4639bd14a91bb52c,CT,Cascades Containerboard Packaging (Updated Notice),Cascades Containerboard Packaging (Updated Notice),,Newtown,,2024-04-26,2024-05-10,Closing,2024-04-26T00:00:00Z
