id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
5baf1dc18094c7ef,IA,People First Sanitation,People First Sanitation,,Sioux City,54,2026-08-28,2026-09-25,Mass Layoff,2026-08-30T21:43:41.512264Z
756d41450e85dd35,IA,"Verschoor Meats, Inc",Verschoor Meats,,Sioux City,42,2026-08-21,2026-08-21,Closing,2026-08-30T21:43:41.512264Z
86bd1da56287ca58,IA,RTX,RTX,,Cedar Rapids,1,2026-08-18,2026-09-30,Mass Layoff,2026-08-30T21:43:41.512264Z
238631898b8069fa,IA,Wells Fargo,Wells Fargo,,West Des Moines,14,2026-08-18,2026-10-17,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
3f9dc4acbb877ab5,IA,Winnebago Industries,Winnebago Industries,,Forest City,27,2026-08-13,2026-11-30,Mass Layoff,2026-08-30T21:43:41.512264Z
7a5129785049200e,IA,Wells Fargo,Wells Fargo,,West Des Moines,7,2026-08-04,2026-10-03,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
98fc6a69d541c483,IA,"Lund Foods Holdings, Inc",Lund Foods Holdings,,Lake Mills,23,2026-08-03,2026-10-09,Closing,2026-08-30T21:43:41.512264Z
bf3982473478b927,IA,"NFI Interactive Logistics, LLC",NFI Interactive Logistics,,Cedar Rapids,49,2026-07-28,2026-09-30,Closing,2026-08-30T21:43:41.512264Z
7e92f5dc3782041b,IA,UnityPoint Health,UnityPoint Health,,West Des Moines,229,2026-07-28,2027-02-28,Mass Layoff,2026-08-30T21:43:41.512264Z
4d6bbe0fb169a735,IA,UnityPoint Health,UnityPoint Health,,Dubuque,1,2026-07-28,2027-02-28,Mass Layoff,2026-08-30T21:43:41.512264Z
29a8ff7fe0955757,IA,Wells Fargo,Wells Fargo,,West Des Moines,20,2026-07-22,2026-09-19,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
71b2a6424bd7e26d,IA,River Hills Community Center,River Hills Community Center,,Richland,5,2026-07-17,2026-07-31,Closing,2026-08-30T21:43:41.512264Z
abd7cfd9717d596e,IA,River Hills Community Center,River Hills Community Center,,Centerville,19,2026-07-17,2026-07-31,Closing,2026-08-30T21:43:41.512264Z
36ce92edfc531c6d,IA,Independence Premium Foods,Independence Premium Foods,,Independence,42,2026-07-10,2026-08-09,Mass Layoff,2026-08-30T21:43:41.512264Z
ce069c639a6411f3,IA,Wells Fargo,Wells Fargo,,West Des Moines,20,2026-07-07,2026-09-05,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
6bfa3a18202d686d,IA,BrandFX,BrandFX,,Swea City,56,2026-06-30,2026-08-31,Closing,2026-08-30T21:43:41.512264Z
18aa1e44ef1c9ce9,IA,Great Souther Bank,Great Souther Bank,,Ankeny,5,2026-06-30,2026-10-01,Closing,2026-08-30T21:43:41.512264Z
ea526dfe44c8ff56,IA,Great Souther Bank,Great Souther Bank,,Pleasant Hill,4,2026-06-30,2026-10-01,Closing,2026-08-30T21:43:41.512264Z
fcfdb0f47b834d2e,IA,Wells Fargo,Wells Fargo,,West Des Moines,43,2026-06-23,2026-08-22,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
a448bded28557cb0,IA,"Plastic Products Co., Inc.",Plastic Products,,West Branch,77,2026-06-15,2026-08-14,Closing,2026-08-30T21:43:41.512264Z
c4f65381834eac43,IA,Iowa Department of Management,Iowa Department of Management,,Des Moines,192,2026-06-09,2026-08-03,Mass Layoff,2026-08-30T21:43:41.512264Z
c0a89858119e9fa4,IA,Whirlpool Corporation,Whirlpool,,Amana,288,2026-06-04,2026-07-05,Mass Layoff,2026-08-30T21:43:41.512264Z
da3b1109922b18db,IA,Wells Fargo,Wells Fargo,,West Des Moines,1,2026-05-26,2026-07-25,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
0bf3ee2c032f3812,IA,"Rhiners' Plumbing Co, Inc",Rhiners' Plumbing,,Clive,47,2026-05-21,2026-05-01,Closing,2026-08-30T21:43:41.512264Z
ae7a547ea7850708,IA,UnityPoint Health,UnityPoint Health,,Des Moines,14,2026-05-14,2026-07-24,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
704c4255f1de1f79,IA,Wells Fargo,Wells Fargo,,West Des Moines,29,2026-05-12,2026-07-11,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
faab94938233ec4f,IA,Wells Fargo,Wells Fargo,,West Des Moines,10,2026-04-28,2026-06-27,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
e6b5e4cf4ec941c4,IA,Transco Rail Services,Transco Rail Services,,Oelwein,40,2026-04-16,2026-04-10,Mass Layoff,2026-08-30T21:43:41.512264Z
2079a27920dc52b8,IA,Appliance Plus Cellular Inc,Appliance Plus Cellular,,Oelwein,4,2026-04-14,2026-07-31,Closing,2026-08-30T21:43:41.512264Z
cfd6cffa7cd85ff8,IA,Appliance Plus Cellular Inc,Appliance Plus Cellular,,Independence,5,2026-04-14,2026-07-31,Closing,2026-08-30T21:43:41.512264Z
b637d02e504e7f47,IA,Appliance Plus Cellular Inc,Appliance Plus Cellular,,New Hampton,3,2026-04-14,2026-07-31,Closing,2026-08-30T21:43:41.512264Z
6b8081a33b697e6f,IA,Appliance Plus Cellular Inc,Appliance Plus Cellular,,Waukon,1,2026-04-14,2026-07-31,Closing,2026-08-30T21:43:41.512264Z
4d277c2c44a83933,IA,Wells Fargo,Wells Fargo,,West Des Moines,25,2026-04-14,2026-06-13,Amendment- Additional Employees,2026-08-30T21:43:41.512264Z
b9cb5ddb72da0982,IA,UnityPoint Health,UnityPoint Health,,Hiawatha,97,2026-04-14,2026-07-24,Mass Layoff,2026-08-30T21:43:41.512264Z
76cca6511a54893c,IA,UnityPoint Health,UnityPoint Health,,Des Moines,3,2026-04-14,2026-07-24,Mass Layoff,2026-08-30T21:43:41.512264Z
cc2cfee808e1a0ce,IA,UnityPoint Health,UnityPoint Health,,Grimes,1,2026-04-14,2026-07-24,Mass Layoff,2026-08-30T21:43:41.512264Z
ed45601551ed28b2,IA,UnityPoint Health,UnityPoint Health,,Des Moines,5,2026-04-14,2026-07-24,Mass Layoff,2026-08-30T21:43:41.512264Z
7f9fc626c39f601d,IA,UnityPoint Health,UnityPoint Health,,Dubuque,2,2026-04-14,2026-07-24,Mass Layoff,2026-08-30T21:43:41.512264Z
ac41ac9f7cb2b89a,IA,UnityPoint Health,UnityPoint Health,,Des Moines,76,2026-04-14,2026-07-24,Mass Layoff,2026-08-30T21:43:41.512264Z
8aa2b9c6cf2bb7cc,IA,Ryder Systems Inc.,Ryder Systems,,Waterloo,153,2026-04-08,2026-07-24,Amendment - Additional Employees,2026-08-30T21:43:41.512264Z
938beafb89f97d90,IA,First Student,First Student,,Waterloo,120,2026-04-02,2026-06-30,Closing,2026-08-30T21:43:41.512264Z
