id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
7dc0de7e44d936a4,IL,Momence Packing Co.,Momence Packing,,"Momence, 334 W North St",,,,State,2026-08-30T21:43:41.512264Z
5ef27153891285bf,IL,"True Value Company, LLC",True Value,,"Harvard, 306 & 308 S. Division Street",,,,State,2026-08-30T21:43:41.512264Z
9f378371933bf1a9,IL,Hennepin Power Plant,Hennepin Power Plant,,"Hennepin, 13498 East 800th Street",,,,State,2026-08-30T21:43:41.512264Z
c6a68189bb4b02f9,IL,Havana Power Plant,Havana Power Plant,,"Havana, 15260 N. State Route 78",,,,State,2026-08-30T21:43:41.512264Z
db7e166d2411e2af,IL,Duck Creek Power Plant,Duck Creek Power Plant,,"Canton, 17751 N. Cilco Road",,,,State,2026-08-30T21:43:41.512264Z
35c20b698c81dacb,IL,Claire's - Hoffman Estates,Claire's - Hoffman Estates,,"Hoffman Estates, 2400 W Central Road",,,,State,2026-08-30T21:43:41.512264Z
c85825f1bd395666,IL,"Sauer Brands, Inc.",Sauer Brands,,"Elk Grove Village, 2401 E. Devon Avenue",,,,State,2026-08-30T21:43:41.512264Z
d53e325828cc08a8,IL,Vistra Corp.,Vistra,,"Bartonville, 7800 S Cilco Ln",,,,State,2026-08-30T21:43:41.512264Z
5506932a09225c04,IL,"Liberty Bar Products, Inc. (Liberty Steel)","Liberty Bar Products, Inc. (Liberty Steel)",,"Chicago Heights, 317 E. 11th Street",,,,State,2026-08-30T21:43:41.512264Z
1c11650e564139bf,IL,Oi Glass Containers,Oi Glass Containers,,"Streator, 901 N Shabbona St",,,,State,2026-08-30T21:43:41.512264Z
1ec3487f363ccbdf,IL,"Natural Fiber Welding, Inc.",Natural Fiber Welding,,"Peoria, 6533 N Galena Rd",,,,State,2026-08-30T21:43:41.512264Z
09550952f3acbead,IL,St. Margaret's Health-Spring Valley,St. Margaret's Health-Spring Valley,,"Spring Valley, 600 E 1ST St",,,,State,2026-08-30T21:43:41.512264Z
6f936c6ee2c4d9fd,IL,United States Steel Corp,United States Steel,,"Granite City, 1951 State St",,,,State,2026-08-30T21:43:41.512264Z
05269c7d9c97aaae,IL,WALGREEN CO.,Walgreen,,"Woodridge, 940 S Frontage Rd Ste 1900",,,,State,2026-08-30T21:43:41.512264Z
7574763777480463,IL,TransUnion,TransUnion,,"Chicago, 555 W Adams St.",,,,State,2026-08-30T21:43:41.512264Z
77baabd513cebc7b,IL,"Group O, Inc.",Group O,,"Rock Island, 2916 78TH Ave W",,,,State,2026-08-30T21:43:41.512264Z
eb75cba9f6185e6f,IL,"Dovenmuehle Mortgage, Inc.",Dovenmuehle Mortgage,,"Lake Zurich, 1 Corporate Dr., Suite 360",,,,State,2026-08-30T21:43:41.512264Z
07351cd3ab24960d,IL,Ground Services International Inc.,Ground Services International,,"Chicago, Chicago O'Hare Airport 10000 W Balmoral Ave.",,,,State,2026-08-30T21:43:41.512264Z
3d3fbdfc469996b7,IL,SCP LLC,SCP,,"Batavia, 1020 Olympic Dr. 950 Raddant Rd.",,,,State,2026-08-30T21:43:41.512264Z
d0a46533dca21b0c,IL,"Adecco USA, Inc.",Adecco,,"Morris, 222 Airport Rd.",,,,State,2026-08-30T21:43:41.512264Z
b0ad3917e7af5b93,IL,"Packers Sanitation Services, Inc.",Packers Sanitation Services,,"Beardstown, 8295 Arenzille Rd.",,,,State,2026-08-30T21:43:41.512264Z
c78d359caba3ea89,IL,Discover Financial Services,Discover Financial Services,,"Riverwoods, 2500 Lake Cook Rd",,,,State,2026-08-30T21:43:41.512264Z
