id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
4837064cfb328c8c,IN,Postal Center International Inc,Postal Center International,,Brownsburg,151,2026-08-13,2026-08-13,CL,2026-08-30T21:43:41.512264Z
3760e2e00b20710e,IN,Owens Corning,Owens Corning,,Walkerton,130,2026-07-21,2026-09-19,CL,2026-08-30T21:43:41.512264Z
c3af09eece6a42f0,IN,"Forest River, Inc.",Forest River,,Bristol,105,2026-07-17,2026-09-17,CL,2026-08-30T21:43:41.512264Z
05c6c8549b1a2bad,IN,Thyssenkrupp Presta North America,Thyssenkrupp Presta North America,,Terre Haute,207,2026-06-30,2027-03-31,CL,2026-08-30T21:43:41.512264Z
5131ecfbbd23b390,IN,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Statewide,7,2026-06-26,2026-08-28,LO,2026-08-30T21:43:41.512264Z
06ce1372bafe6932,IN,"Snyder’s-Lance, Inc d/b/a Campbell Snacks",Snyder's-Lance,Campbell Snacks,Jeffersonville,111,2026-06-18,2026-09-15,CL,2026-08-30T21:43:41.512264Z
df1bd0d2d781e9a7,IN,humano LLC,humano,,Avon,586,2026-06-17,2026-08-17,CL,2026-08-30T21:43:41.512264Z
b42fe49a91522364,IN,"SIMOS Insourcing Solutions, LLC",SIMOS Insourcing Solutions,,Avon,572,2026-06-17,2026-08-17,LO,2026-08-30T21:43:41.512264Z
30a8e1c31a6301e4,IN,Ryder Integrated Logistics,Ryder Integrated Logistics,,Plainfield,76,2026-06-08,2026-07-31,LO,2026-08-30T21:43:41.512264Z
9510d78dd9056c91,IN,Noble Inc,Noble,,Indianapolis,85,2026-06-02,2026-06-02,LO,2026-08-30T21:43:41.512264Z
55e93113a9efec9e,IN,"Eclipse Advantage, LLC",Eclipse Advantage,,Whitestown,21,2026-05-19,2026-07-18,CL,2026-08-30T21:43:41.512264Z
65a6fd8585484715,IN,Cummins Inc,Cummins,,Whitestown,59,2026-05-01,2020-07-31,CL,2026-08-30T21:43:41.512264Z
4dba6b3826e50f35,IN,CICOA Aging & In-Home Solutions,CICOA Aging & In-Home Solutions,,Indianapolis,90,2026-04-30,2026-05-15,LO,2026-08-30T21:43:41.512264Z
0635180bba724cfc,IN,RESRG Automotive,RESRG Automotive,,Evansville,266,2026-04-14,2026-06-06,CL,2026-08-30T21:43:41.512264Z
2a24284155181d1d,IN,"Oakland City University, Inc",Oakland City University,,Oakland City,167,2026-04-01,2026-06-01,LO,2026-08-30T21:43:41.512264Z
ac780f63cc617ccb,IN,"WIT Logistics, LLC",WIT Logistics,,Plainfield,65,2026-03-13,2026-05-31,CL,2026-08-30T21:43:41.512264Z
