id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
926cfe22156a5df6,MI,"General Motors, LLC -- Lansing Region",General Motors,,"Eaton, Ingham",350,,2027-01-14,Mass layoff,2026-08-30T22:16:36.831610Z
2cd1c9c2d387600c,MI,SMBC MANUBANK,Smbc Manubank,,Remote,1,,2026-10-09,Mass permanent layoff,2026-08-30T22:16:36.831610Z
e28833477764a02b,MI,Kroger,Kroger,,Genesee,68,,2026-09-30,Facility closure,2026-08-30T22:16:36.831610Z
ef0db169b33e6621,MI,"Compass Group USA, Inc. / Morrison Healthcare","Compass Group USA, Inc. / Morrison Healthcare",,"Cheboygan, Emmett, Genessee, Ingham, Lapeer",168,,2026-09-25,Layoff,2026-08-30T22:16:36.831610Z
37c4a7abb28d1916,MI,"SK Siltron CSS, LLC",SK Siltron CSS,,Bay,130,,2026-09-15,Facility closure,2026-08-30T22:16:36.831610Z
c18643df422ff146,MI,Fifth Third Bank,Fifth Third Bank,,Oakland,234,,2026-09-11,Mass layoff,2026-08-30T22:16:36.831610Z
f6d6f5d4ff18c221,MI,"Trystar, LLC",Trystar,,Oakland,71,,2026-09-04,Facility closure,2026-08-30T22:16:36.831610Z
ffaa39004fbe83cb,MI,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Statewide (remote),15,,2026-08-28,Layoff,2026-08-30T22:16:36.831610Z
ae9ee1af6c403924,MI,Republic National Distributing Company (RNDC),Republic National Distributing Company (RNDC),,"Delta, Grand Traverse, Kent, Saginaw, Wayne",641,,2026-08-17,Layoff,2026-08-30T22:16:36.831610Z
b2c27401a5516095,MI,"Rec Boat Holdings, LLC",Rec Boat Holdings,,Wexford,239,,2026-08-15,Facility closure,2026-08-30T22:16:36.831610Z
03ba96ce86d89c0a,MI,"Compass Group USA, Inc. / Morrison Healthcare","Compass Group USA, Inc. / Morrison Healthcare",,"Bay, Clare, Genesee, Huron, Isabella, Macomb, Oakland, Tuscola",311,,2026-07-24,Layoff,2026-08-30T22:16:36.831610Z
7270cb72d46baf70,MI,"Navitas Systems, Inc.",Navitas Systems,,Washtenaw,82,,2026-07-11,Facility closure,2026-08-30T22:16:36.831610Z
