id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
21bef2f0a89576ea,NJ,UBS,UBS,,Weehawken,58,2026-11-01,2026-11-04,,2026-08-30T21:43:41.512264Z
adc1a8caea67c5f3,NJ,"Citibank, N.A.",Citibank,,Hudson County,59,2026-08-01,2026-10-31,,2026-08-30T21:43:41.512264Z
a0f8bf1b093f7fd5,NJ,JP Morgan Chase,JP Morgan Chase,,Jersey City,63,2026-08-01,2026-08-19,,2026-08-30T21:43:41.512264Z
9b61640123acf6da,NJ,"Grocery Delivery E-Services USA, Inc DBA Hello Fresh",Grocery Delivery E-Services,Hello Fresh,Swedesboro,374,2026-08-01,2026-11-17,,2026-08-30T21:43:41.512264Z
97e8510b309bfa5a,NJ,Optum,Optum,,Basking Ridge,57,2026-08-01,2026-12-07,,2026-08-30T21:43:41.512264Z
650a8bbff7914f8b,NJ,Gerresheimer,Gerresheimer,,Vineland,139,2026-08-01,2026-09-01,,2026-08-30T21:43:41.512264Z
47d3d8f683a05060,NJ,Cenlar FSB,Cenlar FSB,,Ewing Twp.,50,2026-08-01,2026-08-21,,2026-08-30T21:43:41.512264Z
1576568849d9234e,NJ,"Enablx, INC",Enablx,,Rockaway Township,187,2026-08-01,2026-12-31,,2026-08-30T21:43:41.512264Z
f73988fe2340e6b3,NJ,Notions Marketing,Notions Marketing,,Gloucester,179,2026-07-01,2026-07-02,,2026-08-30T21:43:41.512264Z
c3bd0ab44eb8c598,NJ,"Headquarters Hotel Mgmt, LLC d/b/a Sheraton Atlantic City Convention Center Hotel",Headquarters Hotel Mgmt,Sheraton Atlantic City Convention Center Hotel,Atlantic City,99,2026-07-01,2026-10-01,,2026-08-30T21:43:41.512264Z
a436fdbe7fc178b1,NJ,"Mars WrigleyConfectionary US, LLC",Mars WrigleyConfectionary US,,Newark,307,2026-07-01,2026-10-16,,2026-08-30T21:43:41.512264Z
979e5e35fbe196bb,NJ,Prudential Insurance Company of America,Prudential Insurance Company of America,,Newark,89,2026-07-01,2026-09-18,,2026-08-30T21:43:41.512264Z
834c7b44434e6a4c,NJ,"Samsung Electronics America, Inc.",Samsung Electronics America,,Englewood Cliffs,739,2026-07-01,2026-09-30,,2026-08-30T21:43:41.512264Z
5d86fc8f0fa29b30,NJ,Petvet Care Centers LLC,Petvet Care Centers,,Egg Harbor Twp,18,2026-07-01,2026-10-08,,2026-08-30T21:43:41.512264Z
34a76d6521e478fa,NJ,Fusion Transport LLC,Fusion Transport,,Piscataway,79,2026-07-01,2026-10-01,,2026-08-30T21:43:41.512264Z
3491c0e0b9c95117,NJ,BASF Corporation,BASF,,Florham Park,62,2026-07-01,2026-11-01,,2026-08-30T21:43:41.512264Z
2e51dd911bd6bb05,NJ,Winfit LLC,Winfit,,Mercer County,5,2026-07-01,2026-07-05,,2026-08-30T21:43:41.512264Z
2ca0ad019612c62f,NJ,Novartis Pharmaceuticals Corporation,Novartis Pharmaceuticals,,East Hanover,322,2026-07-01,2026-10-02,,2026-08-30T21:43:41.512264Z
2a74b4992b2f02c2,NJ,JP Morgan Chase,JP Morgan Chase,,Jersey City,173,2026-07-01,2026-07-08,,2026-08-30T21:43:41.512264Z
1d81e3dde821e894,NJ,Verizon Corp Resources Group LLC,Verizon Corp Resources Group,,Basking Ridge,282,2026-07-01,2026-10-16,,2026-08-30T21:43:41.512264Z
18d2c9df6f8666d1,NJ,The Cannabist Company,Cannabist,,Vineland,86,2026-07-01,2026-10-11,,2026-08-30T21:43:41.512264Z
e6dccab17b30de74,NJ,"Samsung SDS America, Inc",Samsung SDS America,,Ridgefield Park,179,2026-06-01,2026-10-01,,2026-08-30T21:43:41.512264Z
e50ebf8d44685e62,NJ,Optum Care Inc.,Optum Care,,Rutherford,5,2026-06-01,2026-08-26,,2026-08-30T21:43:41.512264Z
d97a1e4ebcb832a2,NJ,"Automatic Data Processing, Inc.",Automatic Data Processing,,Roseland,76,2026-06-01,2026-09-25,,2026-08-30T21:43:41.512264Z
aa1626b0d44dcd92,NJ,"International Paper, Barrington Box Plant","International Paper, Barrington Box Plant",,Barrington,126,2026-06-01,2026-09-24,,2026-08-30T21:43:41.512264Z
7172cff33d0d1553,NJ,UBS,UBS,,Weehawken,65,2026-06-01,2026-08-26,,2026-08-30T21:43:41.512264Z
540344697961779f,NJ,"Citibank, N.A.",Citibank,,Hudson and Bergen Counties,68,2026-06-01,2026-06-28,,2026-08-30T21:43:41.512264Z
4e56c4c9c76c4c01,NJ,Optum Services Inc.,Optum Services,,Basking Ridge,36,2026-06-01,2026-08-26,,2026-08-30T21:43:41.512264Z
4984fd4aea44b275,NJ,Digital Room LLC,Digital Room,,Saddle Brook,69,2026-06-01,2026-09-16,,2026-08-30T21:43:41.512264Z
253ababab722cd3a,NJ,Optum Select Management Inc.,Optum Select Management,,Somerset,17,2026-06-01,2026-08-26,,2026-08-30T21:43:41.512264Z
22c74c90d4a79c44,NJ,Merck & Co,Merck &,,Rahway,88,2026-06-01,2026-09-04,,2026-08-30T21:43:41.512264Z
1fdb1ccae7458c45,NJ,Verizon Corp Resources Group LLC,Verizon Corp Resources Group,,Basking Ridge,156,2026-06-01,2026-08-07,,2026-08-30T21:43:41.512264Z
13ee5ba7cbafb80f,NJ,Verizon Corp Resources Group LLC,Verizon Corp Resources Group,,Basking Ridge,35,2026-06-01,2026-09-18,,2026-08-30T21:43:41.512264Z
04c1c54a15ec0a82,NJ,AT&T,AT&T,,Cumberland County,138,2026-06-01,2026-09-15,,2026-08-30T21:43:41.512264Z
eb68ed7e7d9dc1be,NJ,Acme Markets Inc.,Acme Markets,,Edgewater,115,2026-05-01,2026-08-15,,2026-08-30T21:43:41.512264Z
db03008e9a05d0a1,NJ,JP Morgan Chase,JP Morgan Chase,,Jersey City,51,2026-05-01,2026-08-03,,2026-08-30T21:43:41.512264Z
d301e9031741bd5c,NJ,Amicus Therapeutics,Amicus Therapeutics,,Princeton,58,2026-05-01,2026-08-07,,2026-08-30T21:43:41.512264Z
bd5df773690752b5,NJ,Meta,Meta,,Statewide,74,2026-05-01,2026-08-20,,2026-08-30T21:43:41.512264Z
b931c7ff64707687,NJ,Spirit Airlines,Spirit Airlines,,Newark,201,2026-05-01,2026-05-02,,2026-08-30T21:43:41.512264Z
b770266c633c2ef2,NJ,Johnson & Johnson,Johnson & Johnson,,New Brunswick,86,2026-05-01,2026-08-21,,2026-08-30T21:43:41.512264Z
