id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
4ec1e0490ff13ee2,SC,"Electrolux Consumer Products, Inc.",Electrolux Consumer Products,,Anderson,10,,2026-12-22,,2026-08-30T21:43:41.512264Z
0e60ae40835f8f1a,SC,The Westin Hilton Head Island Resort & Spa,Westin Hilton Head Island Resort & Spa,,Beaufort,157,,2026-11-03,,2026-09-05T00:23:47.508206Z
39c761f67e84efec,SC,KPR US LLC,KPR US,,Kershaw,3,,2026-11-01,,2026-08-30T21:43:41.512264Z
483d0a6e1c27502c,SC,DP World,DP World,,Spartanburg,205,,2026-10-31,,2026-09-02T18:45:14.612156Z
3002c68dd1ff4dcd,SC,PepsiCo Beverages Sales LLC,PepsiCo Beverages Sales,,Richland,105,,2026-10-18,,2026-08-30T21:43:41.512264Z
4395e57a6cdf3699,SC,Pactiv LLC,Pactiv,,Aiken,133,,2026-10-06,,2026-08-30T21:43:41.512264Z
47e1457146ce8d62,SC,Smith Drug Company,Smith Drug,,Spartanburg,195,,2026-09-30,,2026-08-30T21:43:41.512264Z
d4534aac2f51298a,SC,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Statewide - Mu,28,,2026-08-28,,2026-08-30T21:43:41.512264Z
6fe64b3ca04e456c,SC,"Healthcare SC, LLC",Healthcare SC,,Fairfield,254,,2026-08-28,,2026-08-30T21:43:41.512264Z
4016d308d1511747,SC,"ILPEA Industries, Inc.",ILPEA Industries,,Anderson,14,,2026-08-21,,2026-08-30T21:43:41.512264Z
c9cf6ef4818d1598,SC,KPR US LLC,KPR US,,Kershaw,13,,2026-08-07,,2026-08-30T21:43:41.512264Z
0192ff3419c4a121,SC,"80 Acres Urban Agriculture, Inc. (80 Acres Farms)","80 Acres Urban Agriculture, Inc. (80 Acres Farms)",,Anderson,73,,2026-08-03,,2026-08-30T21:43:41.512264Z
43b0a469e0ba482c,SC,"Electrolux Consumer Products, Inc.",Electrolux Consumer Products,,Anderson,1245,,2026-07-18,,2026-08-30T21:43:41.512264Z
e1ea3fa3e9ef1bd9,SC,"ILPEA Industries, Inc.",ILPEA Industries,,Anderson,43,,2026-07-17,,2026-08-30T21:43:41.512264Z
2a9bae151f5e8261,SC,"Swiss Krono, LLC",Swiss Krono,,Barnwell,99,,2026-07-11,,2026-08-30T21:43:41.512264Z
27d6b756fe0bd74f,SC,Hengst Filtration,Hengst Filtration,,Kershaw,77,,2026-07-06,,2026-08-30T21:43:41.512264Z
580540a0c796351d,SC,"thyssenkrupp Supply Chain Services, Inc.",thyssenkrupp Supply Chain Services,,Spartanburg,110,,2026-07-05,,2026-08-30T21:43:41.512264Z
c5d80339716439ce,SC,Univar Solutions USA LLC,Univar Solutions,,Spartanburg,99,,2026-06-28,,2026-08-30T21:43:41.512264Z
6d3a93a6ee9bb13b,SC,"Republic National Distributing Company, LLC",Republic National Distributing,,Lexington,451,,2026-06-07,,2026-08-30T21:43:41.512264Z
8860b4d6ca83c5df,SC,KPR US LLC,KPR US,,Kershaw,23,,2026-05-29,,2026-08-30T21:43:41.512264Z
5e50176b842b7ae5,SC,Textron Systems Corporation,Textron Systems,,Berkeley,58,,2026-05-21,,2026-08-30T21:43:41.512264Z
28bd8bfe6adebd7c,SC,KPR US LLC,KPR US,,Kershaw,19,,2026-05-15,,2026-08-30T21:43:41.512264Z
eda4a4190c37ccc9,SC,Charter Communications,Charter Communications,,Lexington,62,,2026-05-07,,2026-08-30T21:43:41.512264Z
fe1752fd0d04b224,SC,"Parsec, LLC",Parsec,,Charleston,39,,2026-05-01,,2026-08-30T21:43:41.512264Z
a09291619385fad8,SC,International Paper Company,International Paper,,Georgetown,126,,2026-05-01,,2026-08-30T21:43:41.512264Z
88d4a17369e02e6e,SC,Koppers Inc.,Koppers,,Florence,66,,2026-04-21,,2026-08-30T21:43:41.512264Z
ed6444385d439c0e,SC,Milliken (Cedar Hill Plant),Milliken (Cedar Hill Plant),,Union,126,,2026-04-17,,2026-08-30T21:43:41.512264Z
88e54679231e3d27,SC,"ABM Industry Groups, LLC",ABM Industry Groups,,Charleston,122,,2026-04-13,,2026-08-30T21:43:41.512264Z
097c17154530dce5,SC,"Industrial Plastics Group, LLC",Industrial Plastics Group,,Pickens,74,,2026-04-10,,2026-08-30T21:43:41.512264Z
1aa1ed9a94214d9b,SC,James Hardie Building Products Inc.,James Hardie Building Products,,Dorchester,78,,2026-03-16,,2026-08-30T21:43:41.512264Z
676f73306c079885,SC,SMBC MANUBANK (JeniusBank),SMBC MANUBANK (JeniusBank),,Statewide - Mu,3,,2026-03-10,,2026-08-30T21:43:41.512264Z
450eff075ea8e089,SC,C2 Technologies,C2 Technologies,,Richland,1,,2026-03-06,,2026-08-30T21:43:41.512264Z
094cb577d70dc70b,SC,Saddle Creek Logistics Services,Saddle Creek Logistics Services,,Spartanburg,130,,2026-03-05,,2026-08-30T21:43:41.512264Z
d9ce0d2cc5e124c7,SC,"WeDriveU, Inc.",WeDriveU,,Charleston,194,,2026-02-28,,2026-08-30T21:43:41.512264Z
96cb4f03e6146c30,SC,"eREV Supply Chain, LLC",eREV Supply Chain,,Charleston,133,,2026-02-28,,2026-08-30T21:43:41.512264Z
86e32ed0bc7f3d92,SC,DLH Solutions,DLH Solutions,,Charleston,194,,2026-02-28,,2026-08-30T21:43:41.512264Z
3dd619e474879bd5,SC,Railcrew Xpress,Railcrew Xpress,,Statewide - Mu,58,,2026-02-27,,2026-08-30T21:43:41.512264Z
311a37bb22f2178a,SC,"First Brands Group, LLC (AVM)","First Brands Group, LLC (AVM)",,Marion,64,,2026-02-23,,2026-08-30T21:43:41.512264Z
fdf1beeb77f2402d,SC,Sodexo (HCA Grand Strand Medical),Sodexo (HCA Grand Strand Medical),,Horry,85,,2026-01-31,,2026-08-30T21:43:41.512264Z
d0cdf39b076aa2e2,SC,Santee Print Works,Santee Print Works,,Sumter,140,,2026-01-30,,2026-08-30T21:43:41.512264Z
b2e209b91b872333,SC,"SC Industrial Holdings, LLC",SC Industrial Holdings,,Lexington,78,,2026-01-30,,2026-08-30T21:43:41.512264Z
a5f9c3ad9f00bbc0,SC,"Best Dressed Chicken, Inc.",Best Dressed Chicken,,Saluda,4,,2026-01-20,,2026-08-30T21:43:41.512264Z
639311c0a6d55d1e,SC,Atkore Plastics Southeast,Atkore Plastics Southeast,,York,42,,2026-01-06,,2026-08-30T21:43:41.512264Z
7d8fff804201e271,SC,House of Raeford,House of Raeford,,Williamsburg,216,,2025-11-14,,2026-08-30T21:43:41.512264Z
02d155181abd3947,SC,East Coast Migrant Head Start Project,East Coast Migrant Head Start Project,,Statewide - Mu,9,,2025-11-01,,2026-08-30T21:43:41.512264Z
1f99b0aa10ceb79f,SC,PL Developments,PL Developments,,Greenville,114,,2025-10-30,,2026-08-30T21:43:41.512264Z
9d755c5bb39e04f8,SC,"IG Design Group Americas, Inc.",IG Design Group Americas,,Lexington,1,,2025-10-10,,2026-08-30T21:43:41.512264Z
f7efbf633592d69c,SC,"WeDriveU, Inc.",WeDriveU,,Charleston,215,,2025-10-01,,2026-08-30T21:43:41.512264Z
889d20b0e1fe4991,SC,Cooperative Health,Cooperative Health,,Richland,80,,2025-09-12,,2026-08-30T21:43:41.512264Z
d0a9879fcac17269,SC,Anchor Bar of Myrtle Beach,Anchor Bar of Myrtle Beach,,Horry,29,,2025-08-31,,2026-08-30T21:43:41.512264Z
45e0d0c68e146758,SC,CEF Solutions Inc.,CEF Solutions,,Greenville,108,,2025-08-31,,2026-08-30T21:43:41.512264Z
c54bb7bbbe339c78,SC,"IG Design Group Americas, Inc.",IG Design Group Americas,,Lexington,112,,2025-08-26,,2026-08-30T21:43:41.512264Z
34084c1da277f545,SC,"NSLC Darlington, Inc. (dba Canfor Southern Pine)",NSLC Darlington,Canfor Southern Pine,Darlington,120,,2025-08-25,,2026-08-30T21:43:41.512264Z
030eb51678686161,SC,"Elliott Sawmilling Co., LLC (dba Canfor Southern Pine)",Elliott Sawmilling,Canfor Southern Pine,Hampton,170,,2025-08-25,,2026-08-30T21:43:41.512264Z
ca0c916dad1e041a,SC,KIRA Services,KIRA Services,,Beaufort,11,,2025-08-11,,2026-08-30T21:43:41.512264Z
f80057b4e1b50886,SC,DAV-Force Inc.,DAV-Force,,Berkeley,76,,2025-08-01,,2026-08-30T21:43:41.512264Z
fcceb52a5bdc0403,SC,"Sodexo, Inc. and Affiliates","Sodexo, Inc. and Affiliates",,York,177,,2025-07-31,,2026-08-30T21:43:41.512264Z
396f2b07834cd22c,SC,ASRC Federal,ASRC Federal,,Charleston,292,,2025-07-31,,2026-08-30T21:43:41.512264Z
253e21c199047890,SC,"CACI, Inc.",CACI,,Sumter,109,,2025-07-31,,2026-08-30T21:43:41.512264Z
688a692ff8519806,SC,Quality Built,Quality Built,,Statewide - Mu,3,,2025-07-03,,2026-08-30T21:43:41.512264Z
118f6bbd473976c5,SC,"Compass Group USA, Inc. (dba Chartwells)",Compass Group,Chartwells,Spartanburg,350,,2025-06-30,,2026-08-30T21:43:41.512264Z
03945b363fd882d9,SC,Sodexo,Sodexo,,Dorchester,210,,2025-06-30,,2026-08-30T21:43:41.512264Z
0fd86ca647d8bc0b,SC,Bicycle Corporation of America (Kent),Bicycle Corporation of America (Kent),,Clarendon,64,,2025-06-25,,2026-08-30T21:43:41.512264Z
f01570ea5b6a06d6,SC,"Ron Group, LLC (dba Blue Sky Specialty Pharmacy)",Ron Group,Blue Sky Specialty Pharmacy,Charleston,125,,2025-06-19,,2026-08-30T21:43:41.512264Z
acfb823e50e38ed6,SC,Hood Container,Hood Container,,Greenville,60,,2025-06-15,,2026-08-30T21:43:41.512264Z
7f3fd06b982531c9,SC,MetoKote Corporation,MetoKote,,Greenville,113,,2025-06-01,,2026-08-30T21:43:41.512264Z
d4804a0de717fe31,SC,Limestone University,Limestone University,,Cherokee,478,,2025-04-30,,2026-08-30T21:43:41.512264Z
c547ac0f2e439e57,SC,Yokohama TWS North America,Yokohama TWS North America,,Spartanburg,90,,2025-04-19,,2026-08-30T21:43:41.512264Z
9e725b4fbdbfa556,SC,Tupperware,Tupperware,,Williamsburg,102,,2025-04-04,,2026-08-30T21:43:41.512264Z
