id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
6609443300ee4be8,SD,JeniusBank (digital unit of SMBC Manubank),JeniusBank (digital unit of SMBC Manubank),,Nationwide,2,2026-08-10,,,2026-08-30T21:43:41.512264Z
cdf159dcab174b02,SD,Conduent,Conduent,,n/a,1,2026-06-29,,,2026-08-30T21:43:41.512264Z
8d3ad4da28b634a6,SD,Republic National Distributing Company,Republic National Distributing,,"Rapid City, Sioux Falls",53,2026-05-19,,,2026-08-30T21:43:41.512264Z
11f2cbbfadd40673,SD,Christ The King School,Christ The King School,,Sioux Falls,31,2026-02-24,,,2026-08-30T21:43:41.512264Z
6a65954c3860469b,SD,"Select Medical Corporation, dba Select Specialty Hospital - South Dakota",Select Medical,Select Specialty Hospital - South Dakota,Sioux Falls,90,2025-10-09,,,2026-08-30T21:43:41.512264Z
dc1d446af8577765,SD,KBR [Earth Resources Observation & Science (EROS) Data Center],KBR [Earth Resources Observation & Science (EROS) Data Center],,Sioux Falls,,2025-10-01,,,2026-08-30T21:43:41.512264Z
ce61cd59f9d3e066,SD,Cimpl's LLC,Cimpl's,,Yankton,36,2025-05-30,,,2026-08-30T21:43:41.512264Z
9d712ef56acdbc9d,SD,"Accelerate360 Distribution, LLC – Dakota Merchandising Remote Work",Accelerate360 Distribution,,Sioux Falls,324,2025-04-25,,,2026-08-30T21:43:41.512264Z
26a4676d46e02645,SD,Cimpl's LLC,Cimpl's,,Yankton,277,2025-03-17,,,2026-08-30T21:43:41.512264Z
0632a10869abde03,SD,JeniusBank (digital unit of SMBC Manubank),JeniusBank (digital unit of SMBC Manubank),,Nationwide,173,2025-01-08,,,2026-08-30T21:43:41.512264Z
7cc6a78c40d07ef0,SD,Yelloh,Yelloh,,Aberdeen/Sioux Falls/Yankton,40,2024-09-30,,,2026-08-30T21:43:41.512264Z
18670711bc860105,SD,A&A Express,A&A Express,,Brandon,111,2024-08-09,,,2026-08-30T21:43:41.512264Z
acf8a9ef438a96fa,SD,Target Corporation,Target,,Sioux Falls,59,2024-05-15,,,2026-08-30T21:43:41.512264Z
15dac38b3767c5f8,SD,"Neiman Enterprises, dba Spearfish Forrest Products",Neiman Enterprises,Spearfish Forrest Products,Spearfish,50,2024-04-15,,,2026-08-30T21:43:41.512264Z
3d9237cd421f2185,SD,Banner Engineering,Banner Engineering,,Aberdeen,311,2024-03-01,,,2026-08-30T21:43:41.512264Z
f40a27208c49fb86,SD,Fiserv,Fiserv,,Sioux Falls,80,2024-01-04,,,2026-08-30T21:43:41.512264Z
