id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
aab09249cf9ec131,TX,JPMorgan Chase & Co.,JPMorgan Chase &,,"Plano, Collin",244,2026-06-23,2026-08-21,,2026-09-02T05:08:44.856399Z
acae4fac14eb058d,TX,KUEHNE + NAGEL (KN) 2026,Kuehne + Nagel (KN) 2026,,"Lewisville, Denton",90,2026-06-16,2026-06-29,,2026-09-02T05:08:44.856399Z
7ce65153271c40a1,TX,"Fortrex (John Soules Foods, Inc.)","Fortrex (John Soules Foods, Inc.)",,"Tyler, Smith",85,2026-06-12,2026-06-26,,2026-09-02T05:08:44.856399Z
5b3f7ad11d057ac4,TX,First Student (DeSoto I.S.D.),First Student (DeSoto I.S.D.),,"De Soto, Dallas",74,2026-06-12,2026-06-30,,2026-09-02T05:08:44.856399Z
3ec2b22f1bc9ed59,TX,SAKS GLOBAL (Neiman Marcus),SAKS GLOBAL (Neiman Marcus),,"Dallas, Dallas",67,2026-06-12,2026-09-30,,2026-09-02T05:08:44.856399Z
80f3b7ad5dcb4c61,TX,"Remington Lodging and Hospitality, LLC (Hilton Houston NASA Clear Lake)","Remington Lodging and Hospitality, LLC (Hilton Houston NASA Clear Lake)",,"Houston, Harris",65,2026-06-09,2026-07-31,,2026-09-02T05:08:44.856399Z
8df9b1bafdb8174a,TX,El Paso Independent School District,El Paso Independent School District,,"El Paso, El Paso",250,2026-06-08,2026-06-19,,2026-09-02T05:08:44.856399Z
3162f284d3567893,TX,Alan Ritchey Incorporated,Alan Ritchey,,"Irving, Dallas",232,2026-06-08,2026-09-14,,2026-09-02T05:08:44.856399Z
58866ccef7116814,TX,MW Components (Matthew Warren Inc's USA Fastner Facility),MW Components (Matthew Warren Inc's USA Fastner Facility),,"Houston, Harris",53,2026-06-04,2026-08-10,,2026-09-02T05:08:44.856399Z
943be18a0f0f7299,TX,Toshiba International Corporation,Toshiba International,,"Houston, Harris",67,2026-05-29,2026-09-30,,2026-09-02T05:08:44.856399Z
a7ad06888a4d40c1,TX,"Auzmet Architectural, LLC",Auzmet Architectural,,"Dallas, Dallas",152,2026-05-19,2026-05-19,,2026-09-02T05:08:44.856399Z
d255ee27354da0b0,TX,"Compass Group USA, Inc. (d/b/a Chartwell's Higher Education (Texas Southern Univ.)",Compass Group,Chartwell's Higher Education (Texas Southern Univ,"Houston, Harris",88,2026-05-14,2026-06-12,,2026-09-02T05:08:44.856399Z
b2c51404b70ac1b8,TX,Spirit Airlines (IAH) May 2026,Spirit Airlines (IAH) May 2026,,"Houston, Harris",515,2026-05-02,2026-05-02,,2026-09-02T05:08:44.856399Z
38f7d0b58f18f174,TX,Spirit Airlines (DFW) May 2026,Spirit Airlines (DFW) May 2026,,"Dallas, Dallas",444,2026-05-02,2026-05-02,,2026-09-02T05:08:44.856399Z
b8311bdca1bb512c,TX,"Amcor Rigid Packaging USA, LLC",Amcor Rigid Packaging,,"Fort Worth, Tarrant",56,2026-05-01,2026-07-02,,2026-09-02T05:08:44.856399Z
83aaeba28da33d3b,TX,"Sodexo (SDH Services East, LLC) Fort Worth Independent School District","Sodexo (SDH Services East, LLC) Fort Worth Independent School District",,"Fort Worth, Tarrant",291,2026-04-30,2026-06-30,,2026-09-02T05:08:44.856399Z
534a12efae115fce,TX,"FreshRealm, Inc.",FreshRealm,,"Lancaster, Dallas",176,2026-04-27,2026-06-27,,2026-09-02T05:08:44.856399Z
3f39b043888542e7,TX,Laurel Ridge Treatment Center (Laurel Ridge),Laurel Ridge Treatment Center (Laurel Ridge),,"San Antonio, Bexar",648,2026-04-27,2026-06-26,,2026-09-02T05:08:44.856399Z
f1923ea120a7ba11,TX,"Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Grand Prairie","Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Grand Prairie",,"Grand Prairie, Tarrant",689,2026-04-23,2026-06-21,,2026-09-02T05:08:44.856399Z
8c3175feedee4443,TX,"Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Corpus Christie","Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Corpus Christie",,"Corpus Ch, Nueces",90,2026-04-23,2026-06-21,,2026-09-02T05:08:44.856399Z
6d389de8b2bc0e1a,TX,"National Safety Apparel, LLC",National Safety Apparel,,"San Antonio, Bexar",50,2026-04-23,2026-06-30,,2026-09-02T05:08:44.856399Z
6c52c5c14d4b58e4,TX,"Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Houston","Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Houston",,"Houston, Harris",588,2026-04-23,2026-06-21,,2026-09-02T05:08:44.856399Z
356e3936d9eae6e5,TX,"Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Austin","Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) Austin",,"Austin, Travis",164,2026-04-23,2026-06-21,,2026-09-02T05:08:44.856399Z
1f6f36f5c709c560,TX,"Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) San Antonio","Republic National Distributing Company, LLC (Reyes Holdings, L.L.C) San Antonio",,"Schertz, Bexar",372,2026-04-23,2026-06-21,,2026-09-02T05:08:44.856399Z
8ce7bff598ca4e56,TX,"Southern Mail Service, Inc.",Southern Mail Service,,"Houston, Harris",50,2026-04-21,2026-05-15,,2026-09-02T05:08:44.856399Z
d940453cae68700a,TX,Saddle Creek Corporation,Saddle Creek,,"New Caney, Montgomery",168,2026-04-15,2026-06-11,,2026-09-02T05:08:44.856399Z
604669676e1e9856,TX,"T-Mobile USA, Inc.",T-Mobile,,"Austin, Travis",74,2026-04-14,2026-06-08,,2026-09-02T05:08:44.856399Z
264b92e48df98e60,TX,"Ampac Mobile Holdings, LLC (ProAmpac)","Ampac Mobile Holdings, LLC (ProAmpac)",,"Grand Prairie, Tarrant",52,2026-04-08,2026-06-07,,2026-09-02T05:08:44.856399Z
b0fb9256e420ff4f,TX,"Sodexo (SDH Services East, LLC) HCA Kingwood","Sodexo (SDH Services East, LLC) HCA Kingwood",,"Kingwood, Harris",81,2026-04-06,2026-06-13,,2026-09-02T05:08:44.856399Z
7f234a59595d46c8,TX,"Sodexo (SDH Services East, LLC) HCA Southeast Texas Medical Center","Sodexo (SDH Services East, LLC) HCA Southeast Texas Medical Center",,"Pasadena, Harris",63,2026-04-06,2026-06-13,,2026-09-02T05:08:44.856399Z
31f227658326807e,TX,"Sodexo (SDH Services East, LLC) HCA Clear Lake","Sodexo (SDH Services East, LLC) HCA Clear Lake",,"Webster, Harris",86,2026-04-06,2026-06-13,,2026-09-02T05:08:44.856399Z
21f495dd7608e9bb,TX,"Sodexo (SDH Services East, LLC) HCA Women's Hospital of Texas","Sodexo (SDH Services East, LLC) HCA Women's Hospital of Texas",,"Houston, Harris",66,2026-04-06,2026-06-13,,2026-09-02T05:08:44.856399Z
6d114fa79f127f70,TX,DSV Contract Logistics (3PL Logistics Facility),DSV Contract Logistics (3PL Logistics Facility),,"Wilmer, Dallas",391,2026-04-02,2026-04-30,,2026-09-02T05:08:44.856399Z
7da3d8cd7429db8c,TX,Hyatt Regency (South Congress Hotel),Hyatt Regency (South Congress Hotel),,"Austin, Travis",126,2026-03-31,2026-05-31,,2026-09-02T05:08:44.856399Z
4079288a70bed2d6,TX,"Compass Group USA, Inc. (d/b/a Chartwell's Higher Education (Texas State University)",Compass Group,Chartwell's Higher Education (Texas State University,"San Marcos, Hays",183,2026-03-31,2026-05-31,,2026-09-02T05:08:44.856399Z
ff062caeab4f0748,TX,Endeavors Eagle Lake Children's Center (Eagle Lake),Endeavors Eagle Lake Children's Center (Eagle Lake),,"Eagle Lake, Colorado",88,2026-03-26,2026-03-24,,2026-09-02T05:08:44.856399Z
f75c1a50c4bf0bc2,TX,"CPLC Texas, Inc. (Magnolia ORR Site)","CPLC Texas, Inc. (Magnolia ORR Site)",,"Los Fresnos, Cameron",56,2026-03-26,2026-03-31,,2026-09-02T05:08:44.856399Z
0fb076d2e8f010ab,TX,Tempus Holding INC. d/b/a The Lodge Card Club,Tempus Holding,The Lodge Card Club,"Round Rock, Travis",144,2026-03-26,2026-03-24,,2026-09-02T05:08:44.856399Z
b814a0fc7537fe10,TX,Albertsons #106 (Euless),Albertsons #106 (Euless),,"Euless, Tarrant",82,2026-03-25,2026-04-25,,2026-09-02T05:08:44.856399Z
33c2591f22ff5aae,TX,Albertsons #4286 (W. Freeway),Albertsons #4286 (W. Freeway),,"Fort Worth, Tarrant",56,2026-03-25,2026-04-25,,2026-09-02T05:08:44.856399Z
0ba5ff0af8ddd92b,TX,Saks & Company LLC (Saks Fifth Avenue - San Antonio),Saks & Company LLC (Saks Fifth Avenue - San Antonio),,"San Antonio, Bexar",71,2026-03-06,2026-05-06,,2026-09-02T05:08:44.856399Z
5c36d962a0c35ce1,TX,Ashley Furniture Industries (Mesquite),Ashley Furniture Industries (Mesquite),,"Mesquite, Dallas",266,2026-03-05,2026-05-07,,2026-09-02T05:08:44.856399Z
e1c3ad4098152bb7,TX,"First Brands Group, LLC. (Titan Dist. Center)","First Brands Group, LLC. (Titan Dist. Center)",,"Brownsville, Cameron",183,2026-03-04,2026-04-30,,2026-09-02T05:08:44.856399Z
c6afa109488a9a40,TX,"First Brands Group, LLC(Billy Mitchell)","First Brands Group, LLC(Billy Mitchell)",,"Brownsville, Cameron",345,2026-03-04,2026-04-30,,2026-09-02T05:08:44.856399Z
68437fa170a001d2,TX,First Brands Group LLC. (ASC Facility),First Brands Group LLC. (ASC Facility),,"Brownsville, Cameron",43,2026-03-04,2026-04-30,,2026-09-02T05:08:44.856399Z
7bcd7d79bca607dd,TX,"Campbell Soup Supply Company, LLC",Campbell Soup Supply,,"Paris, Lamar",205,2026-03-03,2026-05-01,,2026-09-02T05:08:44.856399Z
d70885983dc42434,TX,"Main Street Sports Group, LLC.",Main Street Sports Group,,"The Woodlands, Montgomery",18,2026-02-19,2026-04-14,,2026-09-02T05:08:44.856399Z
90d5aa3103da0112,TX,Stockyards Hotel and H3 Ranch,Stockyards Hotel and H3 Ranch,,"Fort Worth, Tarrant",120,2026-02-19,2026-04-06,,2026-09-02T05:08:44.856399Z
1f7a995462dec284,TX,Bluum USA Inc.,Bluum,,"Irving, Dallas",60,2026-02-19,2026-04-20,,2026-09-02T05:08:44.856399Z
8663fb6afa9a8947,TX,Walgreens (Greens Rd.),Walgreens (Greens Rd.),,"Houston, Harris",159,2026-02-18,2026-06-01,,2026-09-02T05:08:44.856399Z
334b570291e42243,TX,Comerica Bank(Frisco Star Tower Facility),Comerica Bank(Frisco Star Tower Facility),,"Frisco, Denton",54,2026-02-11,2026-04-24,,2026-09-02T05:08:44.856399Z
9acfaa8ed0805a89,TX,Randalls #3067,Randalls,,"Houston, Harris",94,2026-02-09,2026-04-18,,2026-09-02T05:08:44.856399Z
a241f4c44a458cec,TX,HGS Solutions,HGS Solutions,,"El Paso, El Paso",92,2026-02-04,2026-03-31,,2026-09-02T05:08:44.856399Z
8985fa7cbc11e443,TX,"First Brands Group, LLC",First Brands Group,,"Arlington, Tarrant",87,2026-02-04,2026-01-26,,2026-09-02T05:08:44.856399Z
1672d9285a1322b1,TX,"Empower Clinic Services, LLC",Empower Clinic Services,,"Houston, Harris",57,2026-02-04,2026-02-04,,2026-09-02T05:08:44.856399Z
84db088238aab01f,TX,Expedia Group Inc. (Austin),Expedia Group Inc. (Austin),,"Austin, Travis",100,2026-02-03,2026-04-01,,2026-09-02T05:08:44.856399Z
9395a9287d821828,TX,Janus International Group,Janus International Group,,"Houston, Harris",113,2026-02-02,2026-04-03,,2026-09-02T05:08:44.856399Z
51cd62f5d29fec8f,TX,Helpful Hands Inc. Joint Base San Antonio-Lackland,Helpful Hands Inc. Joint Base San Antonio-Lackland,,"San Antonio, Bexar",96,2026-02-02,2026-03-31,,2026-09-02T05:08:44.856399Z
8e4729889954353a,TX,Compass Connections,Compass Connections,,"Harlingen, Cameron",148,2026-01-29,2026-03-29,,2026-09-02T05:08:44.856399Z
7006a880a9288aab,TX,Cardone Industries-Arlington,Cardone Industries-Arlington,,"Arlington, Tarrant",87,2026-01-28,2026-01-26,,2026-09-02T05:08:44.856399Z
531702f7d99928b6,TX,Cardone Industries-Harlingen,Cardone Industries-Harlingen,,"Harlingen, Cameron",41,2026-01-28,2026-01-26,,2026-09-02T05:08:44.856399Z
3df49ba97706f089,TX,Fresenius USA Manufacturing,Fresenius USA Manufacturing,,"Coppell, Dallas",67,2026-01-28,2026-04-10,,2026-09-02T05:08:44.856399Z
a3cf8bce6b63996f,TX,Power Plug Inc. (Houston Manufacturing Company),Power Plug Inc. (Houston Manufacturing Company),,"Houston, Harris",74,2026-01-23,2026-01-23,,2026-09-02T05:08:44.856399Z
e626701dfca1b503,TX,Future Proof Brands LLC (Austin),Future Proof Brands LLC (Austin),,"Austin, Travis",158,2026-01-21,2026-02-21,,2026-09-02T05:08:44.856399Z
6b869d729ce76461,TX,"Tyson Foods, Inc (Amarillo B-Shift Operations) Updated","Tyson Foods, Inc (Amarillo B-Shift Operations) Updated",,"Amarillo, Potter",1761,2026-01-20,2026-02-24,,2026-09-02T05:08:44.856399Z
13982254e9440e17,TX,Francesca's (Houston),Francesca's (Houston),,"Houston, Harris",202,2026-01-14,2026-01-08,,2026-09-02T05:08:44.856399Z
ff5ec28b4d66f224,TX,"Congo, LLC (Updated March 2026)","Congo, LLC (Updated March 2026)",,"Lewisville, Denton",31,2026-01-09,2026-03-13,,2026-09-02T05:08:44.856399Z
fd9ee18459514799,TX,Tessera Therapeutics,Tessera Therapeutics,,"Friendswood, Harris",2,2026-01-07,2026-03-08,,2026-09-02T05:08:44.856399Z
9b0306ae5d2c9412,TX,ComericA Frisco Star Tower Facility,ComericA Frisco Star Tower Facility,,"Frisco, Denton",184,2026-01-07,2026-03-13,,2026-09-02T05:08:44.856399Z
