id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
c363d475d12dd7dc,WI,Foremost Farms USA,Foremost Farms,,Marshfield,68,2026-08-24,2026-12-15,CL,2026-08-30T21:43:41.512264Z
212a611aaa9b3621,WI,"Durr CTS, Inc.<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* The company provided a separate communication clarifying that the number impacted is 75.</em>","Durr CTS, Inc.<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* The company provided a separate communication clarifying that the number impacted is 75.</em>",,De Pere,75,2026-08-12,2026-10-13,CL,2026-08-30T21:43:41.512264Z
983bd1a3888bd3b3,WI,Samuel Pressure Vessel Group,Samuel Pressure Vessel Group,,Tomahawk,76,2026-08-05,2026-08-04,CL,2026-08-30T21:43:41.512264Z
6eb231e7c79a6574,WI,UnityPoint Health,UnityPoint Health,,Madison,1,2026-08-04,2027-02-28,WR,2026-08-30T21:43:41.512264Z
f9adc4f5704d3927,WI,UnityPoint Health,UnityPoint Health,,Unknown - Remote Employees,17,2026-08-04,2027-02-28,WR,2026-08-30T21:43:41.512264Z
1a9d69f4e095225f,WI,"School Specialty, LLC",School Specialty,,Fort Atkinson,59,2026-07-28,2026-09-25,CL,2026-08-30T21:43:41.512264Z
831a05722226ddea,WI,"Wisconsin Green, LLC<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* Notice outlines multiple scenarios for layoffs. Information displayed reflects the worst-case scenario.</em>","Wisconsin Green, LLC<br/></a><a><em style=""font-size:80%; text-decoration:none !important; color:#000"">* Notice outlines multiple scenarios for layoffs. Information displayed reflects the worst-case scenario.</em>",,Washington,59,2026-07-21,2026-07-22,CL,2026-08-30T21:43:41.512264Z
1f8200c6d5f4b884,WI,"Prairie Farms Dairy, Inc. Shullsburg Creamery","Prairie Farms Dairy, Inc. Shullsburg Creamery",,Shullsburg,43,2026-07-20,2026-07-20,CL,2026-08-30T21:43:41.512264Z
3a508fbbde31073c,WI,"Prairie Farms Dairy, Inc. White Hill Cheese","Prairie Farms Dairy, Inc. White Hill Cheese",,Shullsburg,54,2026-07-20,2026-08-14,CL,2026-08-30T21:43:41.512264Z
ef9cc87969bfd8da,WI,Centers for Independence-MCFI Home Care,Centers for Independence-MCFI Home Care,,Milwaukee,43,2026-07-14,2026-10-31,CL,2026-08-30T21:43:41.512264Z
dd3af8f90e764bd5,WI,PPD d/b/a Thermo Fisher Scientific,PPD,Thermo Fisher Scientific,Middleton,69,2026-07-08,2026-09-28,WR,2026-08-30T21:43:41.512264Z
d843abafa317bfb3,WI,GW Mireles Inc.,GW Mireles,,Milwaukee,26,2026-07-01,2026-09-01,CL,2026-08-30T21:43:41.512264Z
353f72105f37ec6f,WI,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Unknown - Remote Employees,6,2026-06-29,2026-08-28,WR,2026-08-30T21:43:41.512264Z
