id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
05ab3e8e7e6ee2d2,SC,"Electrolux Consumer Products, Inc.",Electrolux Consumer Products,,Anderson,10,2026-12-22,,,2026-08-30T21:43:41.512264Z
2762554f7fd9f5d8,SC,The Westin Hilton Head Island Resort & Spa,Westin Hilton Head Island Resort & Spa,,Beaufort,219,2026-11-03,,,2026-08-30T21:43:41.512264Z
f0de7077cdf4ca18,SC,KPR US LLC,KPR US,,Kershaw,3,2026-11-01,,,2026-08-30T21:43:41.512264Z
21bef2f0a89576ea,NJ,UBS,UBS,,Weehawken,58,2026-11-01,2026-11-04,,2026-08-30T21:43:41.512264Z
381b874dbcf5ef5d,UT,Point Designs,Point Designs,,Bountiful,8,2026-10-30,,,2026-08-30T21:43:41.512264Z
1b7bd200fec41aec,SC,PepsiCo Beverages Sales LLC,PepsiCo Beverages Sales,,Richland,105,2026-10-18,,,2026-08-30T21:43:41.512264Z
4152b4285b715f97,SC,Pactiv LLC,Pactiv,,Aiken,133,2026-10-06,,,2026-08-30T21:43:41.512264Z
911bdbe75c1f0563,SC,Smith Drug Company,Smith Drug,,Spartanburg,195,2026-09-30,,,2026-08-30T21:43:41.512264Z
e77471fde1d2a31b,SC,"Healthcare SC, LLC",Healthcare SC,,Fairfield,254,2026-08-28,,,2026-08-30T21:43:41.512264Z
a65d65bed3224bea,SC,"Conduent Commercial Solutions, LLC",Conduent Commercial Solutions,,Statewide - Mu,28,2026-08-28,,,2026-08-30T21:43:41.512264Z
5baf1dc18094c7ef,IA,People First Sanitation,People First Sanitation,,Sioux City,54,2026-08-28,2026-09-25,Mass Layoff,2026-08-30T21:43:41.512264Z
222c25259545f327,WA,"Columbia Hospitality, Inc",Columbia Hospitality,,Kenmore,86,2026-08-28,2026-10-30,Layoff,2026-08-30T21:43:41.512264Z
b40d410dbfc13334,NE,Fortrex 0129 Madison,Fortrex 0129 Madison,,Madison,91,2026-08-26,,,2026-08-30T21:43:41.512264Z
824598b1ecac2577,WA,"T-Mobile USA, Inc.",T-Mobile,,"Seattle, Bellingham, Bothell, Vancouver, Bellevue, Kennewick, Tacoma, and Yakima",77,2026-08-26,2026-09-21,Layoff,2026-08-30T21:43:41.512264Z
05a91cb48a75aad9,CA,"Levine Management Group, Inc.",Levine Management Group,,Los Angeles County,72,2026-08-26,2026-08-17,Layoff Permanent,2026-08-30T21:43:41.512264Z
b130ed8f3f03be65,MD,Crosby Marketing Communications,Crosby Marketing Communications,,"705 Melvin Avenue Annapolis, MD 21401",20,2026-08-25,2026-10-30,Mass Layoff- No Recall,2026-08-30T21:43:41.512264Z
73eafab685a7f4ee,IL,MAT HOLDINGS INC.,Mat Holdings,,"Romeoville, 821 W Bluff Rd",97,2026-08-25,,State,2026-08-30T21:43:41.512264Z
e46311065c49a8a6,CA,"BFG Supply Co., LLC",BFG Supply,,San Bernardino County,37,2026-08-24,2026-10-25,Layoff Permanent,2026-08-30T21:43:41.512264Z
c363d475d12dd7dc,WI,Foremost Farms USA,Foremost Farms,,Marshfield,68,2026-08-24,2026-12-15,CL,2026-08-30T21:43:41.512264Z
84feef6b104018d8,CA,"BFG Supply Co., LLC",BFG Supply,,Yolo County,2,2026-08-24,2026-10-25,Layoff Permanent,2026-08-30T21:43:41.512264Z
61c93862980b9534,TN,Identity Group,Identity Group,,Putnam,63,2026-08-24,2026-10-20,,2026-08-30T21:43:41.512264Z
07561c6c9e857e15,IL,"BFG Supply Company, LLC",BFG Supply,,"Danville, 70 Eastgate Dr.",35,2026-08-24,,State,2026-08-30T21:43:41.512264Z
fcd1faf525ba1e08,CA,Blue Shield of California,Blue Shield of California,,Los Angeles County,3,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
f12c5749912735dd,CA,Blue Shield of California (Building B),Blue Shield of California (Building B),,El Dorado County,12,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
f01ba9083b95dc9f,CA,Blue Shield of California,Blue Shield of California,,Alameda County,25,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
ea50887a97840db2,SC,"ILPEA Industries, Inc.",ILPEA Industries,,Anderson,14,2026-08-21,,,2026-08-30T21:43:41.512264Z
e7fb05023f801fa3,CA,Blue Shield of California,Blue Shield of California,,Sacramento County,5,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
e4e4b70572aff2cf,CA,Blue Shield of California,Blue Shield of California,,San Diego County,4,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
d4b7131a49703a8a,CA,"Apple, Inc. - Sunnyvale","Apple, Inc. - Sunnyvale",,Santa Clara County,28,2026-08-21,2026-10-19,Layoff Permanent,2026-08-30T21:43:41.512264Z
c34a3754ba6b5e5f,CA,"Apple, Inc. - Maude Ave.","Apple, Inc. - Maude Ave",,Santa Clara County,40,2026-08-21,2026-10-19,Layoff Permanent,2026-08-30T21:43:41.512264Z
ba5aaad31b69a566,CA,Blue Shield of California,Blue Shield of California,,San Joaquin County,2,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
af9684f25dbd4211,CA,Cellares Corporation,Cellares,,San Mateo County,100,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
a7ec6166d82f2f9e,WA,"Twin City Foods, Inc.",Twin City Foods,,Ellensburg,109,2026-08-21,2026-11-02,Layoff,2026-08-30T21:43:41.512264Z
756d41450e85dd35,IA,"Verschoor Meats, Inc",Verschoor Meats,,Sioux City,42,2026-08-21,2026-08-21,Closing,2026-08-30T21:43:41.512264Z
6d26b0409d382f18,CA,"Apple, Inc. - Cupertino","Apple, Inc. - Cupertino",,Santa Clara County,79,2026-08-21,2026-10-19,Layoff Permanent,2026-08-30T21:43:41.512264Z
51850bb9c7bca8f0,WA,"Borton & Sons, Inc.",Borton & Sons,,"Yakima, Zillah, Pasco, Burbank, Prescott, Soap Lake, Othello, Mesa",928,2026-08-21,2026-11-08,Layoff,2026-08-30T21:43:41.512264Z
4a32c7b82aa78ae9,CA,Blue Shield of California,Blue Shield of California,,Los Angeles County,8,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
42ca7d81b33b15e0,CA,Jabil Inc.,Jabil,,Santa Clara County,382,2026-08-21,2026-11-23,Closure Temporary,2026-08-30T21:43:41.512264Z
2dd5671805e506a0,CA,Blue Shield of California (Building C),Blue Shield of California (Building C),,El Dorado County,1,2026-08-21,2026-10-20,Layoff Permanent,2026-08-30T21:43:41.512264Z
04af33401f5d61e9,AZ,Amentum,Amentum,,Chandler,75,2026-08-21,,WARN,2026-08-30T21:43:41.512264Z
dfbcbada0dd72768,WA,Starbucks,Starbucks,,Seattle,224,2026-08-20,2026-10-19,Layoff,2026-08-30T21:43:41.512264Z
73cae0977f667422,CA,Silgan Containers,Silgan Containers,,Stanislaus County,120,2026-08-20,2026-10-12,Layoff Temporary,2026-08-30T21:43:41.512264Z
